Date and Time,Timestamp,Temperature,Humidity,Carbon Monoxide,Rain
07-12-2019 17:17:21,1575719241,25.30,68.00,15,Absent
07-12-2019 17:18:21,1575719301,25.30,67.00,15,Absent
07-12-2019 17:19:21,1575719361,25.30,68.00,15,Absent
07-12-2019 17:20:21,1575719421,25.30,68.00,15,Absent
07-12-2019 17:21:25,1575719485,25.20,68.00,15,Absent
07-12-2019 17:22:21,1575719541,25.30,67.00,15,Absent
07-12-2019 17:23:21,1575719601,25.40,68.00,15,Absent
07-12-2019 17:24:21,1575719661,25.40,67.00,15,Absent
07-12-2019 17:25:21,1575719721,25.40,67.00,15,Absent
07-12-2019 17:26:21,1575719781,25.50,67.00,15,Absent
07-12-2019 17:27:21,1575719841,25.40,67.00,15,Absent
07-12-2019 17:28:21,1575719901,25.40,67.00,15,Absent
07-12-2019 17:29:21,1575719961,25.40,67.00,14,Absent
07-12-2019 17:30:21,1575720021,25.40,68.00,14,Absent
07-12-2019 17:31:21,1575720081,25.40,67.00,14,Absent
07-12-2019 17:32:21,1575720141,25.40,67.00,14,Absent
07-12-2019 17:33:21,1575720201,25.40,67.00,14,Absent
